name,prefecture,url,kencd,beginner_pct,intermediate_pct,advanced_pct,fetched_at
北海道 | キッズデビュー向け,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003021,10,35,45,20,2026-01-17T18:18:03
北海道 | オフィシャルホテル,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004009,10,40,40,20,2026-01-17T18:18:05
北海道 | 映え・絶景スポット,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004002,10,40,40,20,2026-01-17T18:18:08
北海道 | スノーパーク,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003002,10,35,45,20,2026-01-17T18:18:10
北海道 | 電車で行ける,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003006,10,35,45,20,2026-01-17T18:18:13
北海道 | 子供リフト無料,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004005,10,40,40,20,2026-01-17T18:18:15
北海道 | ファミリーおすすめ,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004017,10,35,45,20,2026-01-17T18:18:17
北海道 | 滑らなくても楽しい,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004001,10,40,40,20,2026-01-17T18:18:19
北海道 | インターから10km,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003019,10,35,45,20,2026-01-17T18:18:21
北海道 | キッズパーク,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003001,10,35,45,20,2026-01-17T18:18:24
北海道 | お風呂/温泉,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003012,10,40,40,20,2026-01-17T18:18:26
北海道 | レンタルが新しい,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003007,10,35,45,20,2026-01-17T18:18:29
北海道 | ナイター,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003005,10,40,40,20,2026-01-17T18:18:31
北海道 | デビュー・初心者歓迎,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004019,10,40,40,20,2026-01-17T18:18:33
北海道 | 駅から近い(5km程度),,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003018,10,40,40,20,2026-01-17T18:18:36
